perfume_id,url,Perfume,Brand,Country,Gender,RatingValue,RatingCount,Year,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
0,https://www.fragrantica.com/perfume/guerlain/neroli-outrenoir-2024-89177.html,neroli-outrenoir-2024,guerlain,France,unisex,"2,89",27,2024,"petitgrain, bergamot, lemon, tangerine, grapefruit","tea, neroli, earthy notes, orange blossom, smoke","benzoin, vanilla, ambrette (musk mallow), myrrh, moss",citrus,green,white floral,fresh spicy,aromatic
1,https://www.fragrantica.com/perfume/jo-malone-london/red-roses-cologne-2023-79465.html,red-roses-cologne-2023,jo-malone-london,UK,women,"3,08",36,2023,lemon,red rose,honeycomb,rose,floral,citrus,aromatic,fresh
2,https://www.fragrantica.com/perfume/lanvin/my-sin-43152.html,my-sin,lanvin,France,women,"3,14",70,2017,"juicy apricot, pear","freesia, rose petals","musk, sandalwood",fruity,floral,powdery,sweet,rose
3,https://www.fragrantica.com/perfume/jo-malone-london/rose-amber-cologne-2024-89145.html,rose-amber-cologne-2024,jo-malone-london,UK,women,"3,16",45,2024,"clove, pink pepper","rose, ginger","amber, white musk, patchouli",rose,warm spicy,amber,musky,floral
4,https://www.fragrantica.com/perfume/guerlain/xi-an-65980.html,xi-an,guerlain,France,unisex,"3,19",31,2021,bamboo,floral notes,sandalwood,woody,floral,powdery,warm spicy,balsamic
5,https://www.fragrantica.com/perfume/lanvin/eclat-d-arpege-limited-edition-6638.html,eclat-d-arpege-limited-edition,lanvin,France,women,"3,22",79,2009,"mandarin orange, bergamot, grapefruit","rose, peach, african orange flower, jasmine","musk, virginia cedar, vetiver, amber",citrus,white floral,woody,rose,fruity
6,https://www.fragrantica.com/perfume/guerlain/perle-imperiale-91687.html,perle-imperiale,guerlain,France,unisex,"3,23",40,2024,bergamot,"fig, powdery notes","sandalwood, leather, myrrh",powdery,woody,fruity,leather,citrus
7,https://www.fragrantica.com/perfume/yves-saint-laurent/black-opium-storm-illusion-60586.html,black-opium-storm-illusion,yves-saint-laurent,France,women,"3,24",29,2020,"pink pepper, orange blossom, mandarin orange, bergamot, pear","tuberose, licorice, coffee, bitter almond, jasmine sambac","cashmirwood, white musk, vanilla, patchouli, cedar",woody,white floral,musky,sweet,soft spicy
8,https://www.fragrantica.com/perfume/acqua-di-parma/zafferano-collector-edition-83303.html,zafferano-collector-edition,acqua-di-parma,Italy,unisex,"3,25",28,2023,"bitter orange, mandarin orange, coriander, bergamot","saffron, geranium, rose, orange blossom, jasmine sambac","vanilla, patchouli, tonka",warm spicy,citrus,vanilla,aromatic,fresh spicy
9,https://www.fragrantica.com/perfume/maison-francis-kurkdjian/aqua-universalis-cologne-forte-66996.html,aqua-universalis-cologne-forte,maison-francis-kurkdjian,France,unisex,"3,25",522,2021,bergamot,"sweet pea, mock orange",white musk,musky,citrus,sweet,floral,white floral
