perfume_id,fragrance
40,"플로럴향, 달콤한향"
152,파우더느낌의 부드러운향
543,"플로럴향, 달콤한향"
607,"플로럴향, 달콤한향"
618,머스크같은 중후한향
663,"플로럴향, 달콤한향"
671,머스크같은 중후한향
686,"플로럴향, 달콤한향"
707,"플로럴향, 달콤한향"
724,파우더느낌의 부드러운향
774,"플로럴향, 달콤한향"
829,"플로럴향, 달콤한향"
1182,라벤더같은 상쾌한향
1191,"플로럴향, 달콤한향"
1277,머스크같은 중후한향
6,파우더느낌의 부드러운향
29,감귤류의 상큼한 향
33,싱그러운 풀 향
73,머스크같은 중후한향
91,"플로럴향, 달콤한향"
105,라벤더같은 상쾌한향
108,머스크같은 중후한향
134,감귤류의 상큼한 향
147,감귤류의 상큼한 향
162,파우더느낌의 부드러운향
183,"플로럴향, 달콤한향"
203,감귤류의 상큼한 향
211,감귤류의 상큼한 향
241,감귤류의 상큼한 향
272,감귤류의 상큼한 향
297,머스크같은 중후한향
307,감귤류의 상큼한 향
321,라벤더같은 상쾌한향
379,감귤류의 상큼한 향
396,감귤류의 상큼한 향
402,머스크같은 중후한향
407,감귤류의 상큼한 향
419,"플로럴향, 달콤한향"
421,감귤류의 상큼한 향
447,"플로럴향, 달콤한향"
448,라벤더같은 상쾌한향
474,감귤류의 상큼한 향
478,"플로럴향, 달콤한향"
483,라벤더같은 상쾌한향
522,"플로럴향, 달콤한향"
581,싱그러운 풀 향
584,"플로럴향, 달콤한향"
595,"플로럴향, 달콤한향"
597,라벤더같은 상쾌한향
614,싱그러운 풀 향
626,라벤더같은 상쾌한향
630,파우더느낌의 부드러운향
639,싱그러운 풀 향
654,감귤류의 상큼한 향
655,라벤더같은 상쾌한향
672,파우더느낌의 부드러운향
687,"플로럴향, 달콤한향"
695,"플로럴향, 달콤한향"
696,감귤류의 상큼한 향
700,파우더느낌의 부드러운향
754,감귤류의 상큼한 향
767,감귤류의 상큼한 향
776,감귤류의 상큼한 향
779,라벤더같은 상쾌한향
798,"플로럴향, 달콤한향"
800,라벤더같은 상쾌한향
820,라벤더같은 상쾌한향
827,머스크같은 중후한향
844,파우더느낌의 부드러운향
848,"플로럴향, 달콤한향"
859,감귤류의 상큼한 향
867,라벤더같은 상쾌한향
878,파우더느낌의 부드러운향
900,"플로럴향, 달콤한향"
915,감귤류의 상큼한 향
916,감귤류의 상큼한 향
925,라벤더같은 상쾌한향
927,머스크같은 중후한향
937,"플로럴향, 달콤한향"
944,"플로럴향, 달콤한향"
959,머스크같은 중후한향
967,감귤류의 상큼한 향
982,라벤더같은 상쾌한향
989,머스크같은 중후한향
993,감귤류의 상큼한 향
1009,감귤류의 상큼한 향
1010,라벤더같은 상쾌한향
1012,감귤류의 상큼한 향
1019,라벤더같은 상쾌한향
1028,싱그러운 풀 향
1032,감귤류의 상큼한 향
1037,라벤더같은 상쾌한향
1040,라벤더같은 상쾌한향
1056,머스크같은 중후한향
1074,"플로럴향, 달콤한향"
1083,라벤더같은 상쾌한향
1087,"플로럴향, 달콤한향"
1095,감귤류의 상큼한 향
1098,머스크같은 중후한향
1110,감귤류의 상큼한 향
1112,"플로럴향, 달콤한향"
1115,싱그러운 풀 향
1132,머스크같은 중후한향
1145,"플로럴향, 달콤한향"
1151,감귤류의 상큼한 향
1153,라벤더같은 상쾌한향
1160,"플로럴향, 달콤한향"
1183,"플로럴향, 달콤한향"
1186,감귤류의 상큼한 향
1194,머스크같은 중후한향
1201,감귤류의 상큼한 향
1202,파우더느낌의 부드러운향
1215,감귤류의 상큼한 향
1228,파우더느낌의 부드러운향
1234,머스크같은 중후한향
1245,머스크같은 중후한향
1251,감귤류의 상큼한 향
1253,감귤류의 상큼한 향
1264,파우더느낌의 부드러운향
1279,싱그러운 풀 향
1311,라벤더같은 상쾌한향
1314,라벤더같은 상쾌한향
1317,싱그러운 풀 향
1322,"플로럴향, 달콤한향"
1327,머스크같은 중후한향
1335,감귤류의 상큼한 향
1338,머스크같은 중후한향
1346,라벤더같은 상쾌한향
1352,감귤류의 상큼한 향
1353,감귤류의 상큼한 향
1355,싱그러운 풀 향
1358,라벤더같은 상쾌한향
1362,파우더느낌의 부드러운향
1365,"플로럴향, 달콤한향"
1375,감귤류의 상큼한 향
1390,머스크같은 중후한향
1395,머스크같은 중후한향
1398,"플로럴향, 달콤한향"
1401,"플로럴향, 달콤한향"
1404,머스크같은 중후한향
1439,파우더느낌의 부드러운향
1444,"플로럴향, 달콤한향"
1452,감귤류의 상큼한 향
1453,"플로럴향, 달콤한향"
1459,감귤류의 상큼한 향
1464,파우더느낌의 부드러운향
5,감귤류의 상큼한 향
7,머스크같은 중후한향
10,"플로럴향, 달콤한향"
13,머스크같은 중후한향
15,"플로럴향, 달콤한향"
17,"플로럴향, 달콤한향"
24,감귤류의 상큼한 향
47,"플로럴향, 달콤한향"
60,파우더느낌의 부드러운향
85,"플로럴향, 달콤한향"
103,"플로럴향, 달콤한향"
104,감귤류의 상큼한 향
120,"플로럴향, 달콤한향"
124,감귤류의 상큼한 향
142,"플로럴향, 달콤한향"
181,감귤류의 상큼한 향
182,싱그러운 풀 향
223,"플로럴향, 달콤한향"
230,감귤류의 상큼한 향
258,"플로럴향, 달콤한향"
259,감귤류의 상큼한 향
268,"플로럴향, 달콤한향"
274,감귤류의 상큼한 향
276,감귤류의 상큼한 향
293,감귤류의 상큼한 향
294,"플로럴향, 달콤한향"
301,감귤류의 상큼한 향
304,싱그러운 풀 향
317,머스크같은 중후한향
322,감귤류의 상큼한 향
325,싱그러운 풀 향
356,"플로럴향, 달콤한향"
365,감귤류의 상큼한 향
369,"플로럴향, 달콤한향"
386,"플로럴향, 달콤한향"
392,"플로럴향, 달콤한향"
413,"플로럴향, 달콤한향"
426,"플로럴향, 달콤한향"
479,"플로럴향, 달콤한향"
494,감귤류의 상큼한 향
498,"플로럴향, 달콤한향"
506,감귤류의 상큼한 향
524,"플로럴향, 달콤한향"
561,라벤더같은 상쾌한향
572,라벤더같은 상쾌한향
573,라벤더같은 상쾌한향
601,감귤류의 상큼한 향
