mainaccord,color
aldehydic,"(216, 233, 246)"
almond,"(241, 227, 197)"
amber,"(188, 77, 16)"
animalic,"(142, 75, 19)"
anis,"(231, 206, 236)"
aquatic,"(99, 204, 226)"
aromatic,"(55, 160, 137)"
balsamic,"(173, 131, 89)"
beeswax,"(240, 182, 66)"
cacao,"(154, 58, 13)"
camphor,"(93, 110, 39)"
cannabis,"(68, 138, 51)"
caramel,"(221, 163, 86)"
champagne,"(231, 206, 236)"
cherry,"(206, 29, 51)"
chocolate,"(96, 48, 0)"
cinnamon,"(210, 105, 30)"
citrus,"(249, 255, 82)"
coconut,"(241, 232, 212)"
coffee,"(80, 59, 29)"
conifer,"(27, 66, 47)"
earthy,"(84, 72, 56)"
floral,"(255, 95, 141)"
fresh,"(155, 229, 237)"
fresh spicy,"(131, 201, 40)"
fruity,"(252, 75, 41)"
green,"(14, 140, 29)"
herbal,"(108, 164, 127)"
honey,"(250, 169, 7)"
iris,"(254, 1, 107)"
lactonic,"(251, 249, 242)"
lavender,"(231, 206, 236)"
leather,"(120, 72, 58)"
marine,"(14, 82, 155)"
metallic,"(151, 176, 183)"
mineral,"(113, 187, 191)"
mossy,"(91, 107, 50)"
musky,"(231, 216, 234)"
nutty,"(180, 149, 95)"
oud,"(84, 65, 54)"
ozonic,"(201, 253, 251)"
patchouli,"(99, 101, 46)"
powdery,"(238, 221, 204)"
rose,"(254, 1, 107)"
rum,"(172, 32, 5)"
salty,"(233, 255, 249)"
sand,"(230, 217, 178)"
smoky,"(130, 116, 135)"
soapy,"(227, 246, 252)"
soft spicy,"(226, 119, 82)"
sour,"(192, 231, 65)"
sweet,"(238, 54, 59)"
tobacco,"(173, 119, 39)"
tropical,"(246, 175, 9)"
tuberose,"(235, 250, 243)"
vanilla,"(255, 254, 192)"
violet,"(156, 29, 255)"
warm spicy,"(204, 51, 0)"
white floral,"(237, 242, 251)"
woody,"(119, 68, 20)"
yellow floral,"(255, 220, 16)"
