perfume_id,winter,spring,summer,fall
0,48,92,92,56
1,87.5,100,62.5,81.25
2,33.3333,83.3333,66.6667,66.6667
3,80.9524,38.0952,33.3333,100
4,5.55556,94.4444,100,27.7778
5,12.9032,100,51.6129,25.8065
6,92,88,74,100
7,100,25,6.25,68.75
8,69.5652,86.9565,73.913,100
9,14.4828,86.8966,100,21.7241
10,89.2423,41.6277,23.9476,78.9523
11,90.184,35.8896,21.4724,100
12,22.2222,75.2137,100,38.4615
13,100,61.5385,23.0769,96.1538
14,34.965,43.3566,63.6364,72.028
15,13.7405,100,83.2061,23.6641
16,26.9231,100,76.9231,38.4615
17,26.9231,96.1538,100,57.6923
18,13.5678,81.407,95.9799,21.1055
19,4.69484,60.0939,100,9.85915
20,11.0294,63.6029,90.3186,28.5948
21,33.3333,66.6667,66.6667,33.3333
22,14.7157,81.9398,100,32.4415
23,12.069,39.6552,100,18.9655
24,24.8908,70.4512,49.9272,52.8384
25,15.0442,100,97.3451,20.354
26,36.4444,100,47.5556,76.4444
27,10.5263,36.8421,94.7368,14.0351
28,43.0233,83.1395,56.3953,59.8837
29,20.0297,86.6469,82.7893,37.2404
30,62.2951,54.0984,27.8689,86.8852
31,69.75,63.75,37.75,86.5
32,12.2449,100,86.7347,19.3878
33,6.37255,69.1176,100,13.2353
34,87.3418,35.443,23.4177,91.7722
35,50,100,100,33.3333
36,42.132,87.3096,56.599,68.5279
37,55.2632,92.1053,68.4211,94.7368
38,50,100,100,66.6667
39,42.8571,100,28.5714,42.8571
40,25.4237,98.3051,84.7458,49.1525
41,22.7273,88.6364,70.4545,47.7273
42,72.6316,56.8421,48.4211,100
43,12.766,84.0426,96.8085,24.4681
44,18.4416,100,72.7273,32.987
45,20.2899,78.9855,88.4058,30.4348
46,13.2296,82.1012,100,28.0156
47,27.2727,100,54.5455,27.2727
48,33.7209,88.3721,100,46.5116
49,28.882,100,78.2609,51.5528
50,17.7215,100,79.7468,29.1139
51,71.4286,91.0714,54.7619,100
52,20.4918,100,79.5082,39.3443
53,55.7692,73.0769,59.6154,76.9231
54,20.0274,78.2579,75.9259,41.1523
55,0,100,66.6667,11.1111
56,25.8883,100,99.2386,47.9695
57,13.1868,91.2088,86.8132,26.3736
58,40,95,60,55
59,23.3577,100,86.8613,32.8467
60,19.3548,100,83.871,35.4839
61,42.8571,64.2857,57.1429,42.8571
62,72.9805,63.5097,38.7187,95.2646
63,32.5,87.2368,52.7632,46.7105
64,17.2414,100,90.1478,25.6158
65,6.18557,45.3608,93.8144,14.433
66,29.1845,86.6953,100,76.824
67,23.3333,100,70,53.3333
68,27.1429,85.7143,72.8571,31.4286
