식별자,스타일,서브스타일,상의_색상,상의_카테고리,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_핏
100026,로맨틱,,화이트,블라우스,캡,"우븐, 레이스",도트,브이넥,루즈,니렝스,화이트,스커트,"레이스, 우븐",노멀
1000316,로맨틱,,라벤더,니트웨어,긴팔,니트,무지,노카라,루즈,미니,블랙,스커트,울/캐시미어,노멀
1000759,로맨틱,페미닌,핑크,티셔츠,반팔,저지,무지,라운드넥,타이트,발목,핑크,스커트,시폰,
1000829,로맨틱,,화이트,티셔츠,반팔,"저지, 스판덱스",무지,라운드넥,타이트,미니,핑크,스커트,우븐,노멀
1002907,로맨틱,,화이트,티셔츠,긴팔,우븐,무지,,노멀,미니,베이지,스커트,우븐,노멀
1003121,로맨틱,모던,네이비,블라우스,긴팔,우븐,무지,오프숄더,노멀,미니,베이지,스커트,가죽,노멀
1003320,로맨틱,페미닌,핑크,블라우스,긴팔,스웨이드,무지,,노멀,발목,베이지,청바지,데님,스키니
1004663,로맨틱,섹시,와인,니트웨어,긴팔,니트,,스퀘어넥,타이트,미니,베이지,스커트,가죽,노멀
1005072,로맨틱,스트리트,블랙,블라우스,긴팔,,,스위트하트,노멀,발목,스카이블루,청바지,데님,스키니
1006441,로맨틱,스트리트,베이지,티셔츠,긴팔,저지,무지,라운드넥,타이트,미니,브라운,스커트,스웨이드,노멀
1008301,로맨틱,스트리트,화이트,티셔츠,반팔,저지,무지,,루즈,발목,스카이블루,청바지,데님,스키니
1008629,로맨틱,소피스트케이티드,화이트,블라우스,긴팔,시폰,플로럴,,노멀,발목,화이트,팬츠,우븐,노멀
1008949,로맨틱,스트리트,핑크,블라우스,반팔,시폰,플로럴,라운드넥,노멀,미니,네이비,청바지,데님,스키니
1009050,로맨틱,스트리트,레드,블라우스,반팔,우븐,스트라이프,오프숄더,노멀,미니,네이비,청바지,데님,노멀
1009157,로맨틱,스트리트,화이트,블라우스,반팔,,무지,오프숄더,노멀,발목,네이비,청바지,데님,스키니
1009188,로맨틱,스트리트,화이트,블라우스,반팔,레이스,무지,라운드넥,노멀,미니,블랙,스커트,데님,노멀
1009659,로맨틱,,화이트,블라우스,7부소매,레이스,도트,라운드넥,노멀,미니,블랙,팬츠,데님,스키니
1010150,로맨틱,,화이트,블라우스,반팔,저지,무지,라운드넥,노멀,미디,화이트,스커트,우븐,노멀
1010421,로맨틱,스트리트,옐로우,티셔츠,반팔,저지,무지,브이넥,노멀,니렝스,블랙,스커트,"메시, 우븐",
101096,로맨틱,,블루,블라우스,반팔,우븐,체크,오프숄더,노멀,미디,화이트,스커트,"시폰, 우븐",노멀
1011500,로맨틱,모던,화이트,티셔츠,반팔,저지,스트라이프,,루즈,미디,블랙,스커트,시폰,노멀
1011510,로맨틱,모던,화이트,티셔츠,반팔,저지,스트라이프,라운드넥,루즈,미디,블랙,스커트,시폰,노멀
1012219,로맨틱,모던,화이트,셔츠,반팔,우븐,무지,,노멀,미니,블랙,스커트,시폰,노멀
1012367,로맨틱,소피스트케이티드,화이트,탑,긴팔,우븐,무지,,노멀,미디,퍼플,스커트,우븐,와이드
1013175,로맨틱,스트리트,핑크,티셔츠,7부소매,저지,무지,라운드넥,루즈,발목,핑크,팬츠,저지,루즈
1013717,로맨틱,모던,화이트,티셔츠,반팔,우븐,레터링,유넥,루즈,미디,블랙,스커트,"시폰, 메시",루즈
1013982,로맨틱,,화이트,블라우스,반팔,시폰,무지,라운드넥,노멀,미니,그레이,스커트,우븐,스키니
1014049,로맨틱,,화이트,셔츠,긴팔,우븐,무지,라운드넥,노멀,미디,스카이블루,스커트,우븐,와이드
1014184,로맨틱,,화이트,블라우스,캡,시폰,무지,라운드넥,노멀,니렝스,스카이블루,스커트,우븐,와이드
1014292,로맨틱,,그레이,티셔츠,반팔,저지,무지,유넥,루즈,미니,화이트,스커트,우븐,스키니
1014352,로맨틱,,핑크,니트웨어,긴팔,니트,무지,,타이트,미디,화이트,스커트,"우븐, 레이스",노멀
1014848,로맨틱,,화이트,탑,긴팔,"저지, 시폰",무지,라운드넥,루즈,발목,블랙,스커트,우븐,와이드
1015053,로맨틱,스트리트,라벤더,니트웨어,긴팔,니트,무지,라운드넥,루즈,미디,화이트,스커트,우븐,와이드
1015209,로맨틱,,골드,니트웨어,긴팔,니트,무지,라운드넥,노멀,미디,베이지,스커트,시폰,노멀
1015210,로맨틱,,골드,니트웨어,긴팔,니트,무지,라운드넥,노멀,미디,베이지,스커트,시폰,노멀
1015230,로맨틱,,골드,니트웨어,긴팔,니트,무지,라운드넥,노멀,미디,베이지,스커트,시폰,노멀
1015442,로맨틱,,베이지,블라우스,긴팔,시폰,플로럴,,노멀,미디,,스커트,시폰,와이드
101551,로맨틱,스트리트,핑크,블라우스,반팔,,,스위트하트,노멀,발목,화이트,팬츠,우븐,루즈
1015637,로맨틱,페미닌,브라운,블라우스,긴팔,우븐,플로럴,,노멀,미니,베이지,스커트,우븐,노멀
1015640,로맨틱,페미닌,베이지,블라우스,긴팔,우븐,플로럴,,노멀,미니,베이지,스커트,우븐,노멀
1015650,로맨틱,페미닌,베이지,블라우스,긴팔,우븐,플로럴,,노멀,미니,베이지,스커트,우븐,노멀
1016000,로맨틱,,핑크,블라우스,긴팔,우븐,무지,,노멀,발목,베이지,스커트,시폰,노멀
1016257,로맨틱,,화이트,블라우스,긴팔,우븐,무지,브이넥,노멀,발목,핑크,팬츠,우븐,와이드
1017525,로맨틱,컨트리,베이지,니트웨어,긴팔,니트,,라운드넥,루즈,미디,화이트,스커트,시폰,노멀
1017636,로맨틱,,핑크,블라우스,긴팔,우븐,,브이넥,노멀,미디,화이트,스커트,시폰,노멀
101853,로맨틱,리조트,화이트,블라우스,반팔,"린넨, 레이스",무지,라운드넥,루즈,미니,카키,팬츠,린넨,와이드
1018770,로맨틱,레트로,그레이,블라우스,반팔,우븐,,브이넥,루즈,미디,블루,청바지,데님,스키니
101977,로맨틱,,핑크,블라우스,7부소매,실크,플로럴,,루즈,,블랙,,,
1019976,로맨틱,스트리트,골드,블라우스,반팔,린넨,체크,노카라,노멀,미니,화이트,스커트,린넨,와이드
1023343,로맨틱,스트리트,베이지,블라우스,반팔,레이스,,라운드넥,노멀,발목,화이트,팬츠,우븐,와이드
1026166,로맨틱,,화이트,블라우스,반팔,,체크,스퀘어넥,노멀,미니,베이지,스커트,,노멀
1026253,로맨틱,섹시,핑크,티셔츠,긴팔,,무지,오프숄더,루즈,미니,화이트,팬츠,우븐,노멀
102846,로맨틱,,스카이블루,니트웨어,긴팔,니트,,터틀넥,노멀,니렝스,블랙,스커트,우븐,스키니
